reg_ex,prod_group,product,dated,date_format,date_position,daystokeep
AMESD_SADC_MODIS_BA*,Wildfire,mesa_burned_area,Y,YYYYDOY,12,
MODIS._FIRE..*.txt,Wildfire,af_modis,Y,YYYYDOY,12,
.*L-000-NEW.*,NOAA,NOAA HIRS,,,,30
.*L-000-NEW.*,NOAA,NOAA MHS,,,,30
.*S-O3M_GOME_.*,NOAA,NOAA GOME,,,,30
.*AVHR_GAC_1B_N19.*,NOAA,AVHR_GAC,,,,30
.*V2KRN.*Africa.*,VGT4AFRICA,NDVI,,,,
g2_BIOPAR.*,VGT4AFRICA,BIOPAR,,,,
.*VGT4AFRICA_DMP_.*,VGT4AFRICA,DMP,,,,
.*VGT4AFRICA_PHENOKS_.*,VGT4AFRICA,PHENOKS,,,,
.*VGT4AFRICA_PHENOMAX_.*,VGT4AFRICA,PHENOMAX,,,,
.*VGT4AFRICA_SWB_.*,VGT4AFRICA,SWB,,,,
FireLoc_npp_.*.txt,Wildfire,af_viirs,Y,YYYYMMDD,13,
.*VGT4AFRICA_VPI_.*,VGT4AFRICA,VPI,,,,
.*VGT4AFRICA_NDWI_.*,VGT4AFRICA,NDWI,,,,
.*VGT4AFRICA.*,VGT4AFRICA,Other,,,,
.*L-000-MSG.__-MPEF________-AMV______-PRO______-.*,MPEF_PRO,AMV-PRO,,,,30
.*L-000-MSG.__-MPEF________-ASR.*,MPEF_PRO,ASR-PRO,,,,30
.*L-000-MSG.__-MPEF________-CLA______-PRO______-.*,MPEF_PRO,CLA-PRO,,,,30
.*L-000-MSG.__-MPEF________-CLAI_____-PRO______-.*,MPEF_PRO,CLAI-PRO,,,,30
.*L-000-MSG.__-MPEF________-CLM______-PRO______-.*,MPEF_PRO,CLM-PRO,,,,30
.*L-000-MSG.__-MPEF________-CSR______-PRO______-.*,MPEF_PRO,CRS-PRO,,,,30
.*L-000-MSG.__-MPEF________-CTH______-PRO______-.*,MPEF_PRO,CTH-PRO,,,,30
AMESD_SADC_MSG_W_ABBA.*.txt,Wildfire,af_msg,Y,YYYYDOY,22,
.*L-000-MSG.__-MPEF________-DIV______-PRO______-.*,MPEF_PRO,DIV-PRO,,,,30
.*L-000-MSG.__-MPEF________-FIRA_____-PRO______-.*,MPEF_PRO,FIRA-PRO,,,,30
.*L-000-MSG.__-MPEF________-FIRC_____-PRO______-.*,MPEF_PRO,FIRC-PRO,,,,30
.*L-000-MSG.__-MPEF________-FIRG_____-PRO______-.*,MPEF_PRO,FIRG-PRO,,,,30
.*L-000-MSG.__-MPEF________-GII______-PRO______-.*,MPEF_PRO,GII-PRO,,,,30
.*L-000-MSG.__-MPEF________-MPEG_____-PRO______-.*,MPEF_PRO,MPEG-PRO,,,,30
.*L-000-MSG.__-MPEF________-TH_______-PRO.*,MPEF_PRO,TH-PRO,,,,30
.*L-000-MSG.__-MPEF________-TOZ______-PRO.*,MPEF_PRO,TOZ-PRO,,,,30
.*L-000-MSG.__-MPEF________-PHI______-PRO.*,MPEF_PRO,PHI-PRO,,,,30
.*L-000-MSG.__-MPEF________-CRM______-PRO.*,MPEF_PRO,CRM-PRO,,,,30
MESA_SADC_FDI_SAfri_v1.*.tif,Wildfire,mesa_fdifwi,Y,YYYY-MM-DD,23,
.*L-000-MSG.__-MPEF________-RII______-PRO.*,MPEF_PRO,RII-PRO,,,,30
.*L-000-MSG.__-MPEF________-AMV______-00.*,MPEF-Data,AMV,,,,30
.*L-000-MSG.__-MPEF________-CLA______-00.*,MPEF-Data,CLA,,,,30
.*L-000-MSG.__-MPEF________-CLAI_____-00.*,MPEF-Data,CLAI,,,,30
.*L-000-MSG.__-MPEF________-CLM______-00.*,MPEF-Data,CLM,,,,30
.*L-000-MSG.__-MPEF________-CSR______-00.*,MPEF-Data,CSR,,,,30
.*L-000-MSG.__-MPEF________-CTH______-00.*,MPEF-Data,CTH,,,,30
.*L-000-MSG.__-MPEF________-DIV______-00.*,MPEF-Data,DIV,,,,30
